,product_name,energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,calcium_100g,iron_100g,nutrition-score-fr_100g,nutrition-score-uk_100g
258,romaine hearts,21.691338718414656,0.0,0.0,0.0,0.0,1.0221184730395447,0.14803416720711624,0.25646948293272404,0.10177981417318517,0.0,0.0,0.0,0.0,-3.0,-3.0
259,romaine,21.691338718414656,0.0,0.0,0.0,0.0,1.0221184730395447,0.14803416720711624,0.25646948293272404,0.10177981417318517,0.0,0.0,0.0,0.0,-3.0,-3.0
260,green leaf lettuce,21.691338718414656,0.0,0.0,0.0,0.0,0.7397073962054344,0.14803416720711624,0.13203395991155717,0.10177981417318517,0.0,0.0,0.0,0.0,-1.0,-1.0
262,cooking spinach,26.22505391408309,0.0,0.0,0.0,0.0,1.0221184730395447,0.0,0.25646948293272404,0.15458111205447744,0.0,0.0,0.0,0.0,-4.0,-4.0
264,celery,18.479839006232243,0.0,0.0,0.0,0.0,1.04184819055396,0.4080708889735475,0.23709423420565345,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
338,"guiltless gourmet, organic unsweetened coconut water",20.915285161634436,0.0,0.0,0.0,0.0,1.1011913729107712,0.5667613922189014,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
345,diced in tomato juice,22.451723811411036,0.0,0.0,0.0,0.0,1.1882054926771455,0.5724693286921956,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
474,"fruit spredad, strawberry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,"fruit spread, raspberry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,deli-sliced hot jalapeno peppers,20.915285161634436,0.0,0.0,0.0,0.0,0.9840351650473652,0.0,0.0,0.0,0.3824742569324812,0.14233035377429204,0.0,0.0,10.0,10.0
670,chunky salsa,20.915285161634436,0.0,0.0,0.0,0.0,0.9840351650473652,0.588230930818469,0.0,0.0,0.2948500523024322,0.0,0.0,0.0,7.0,7.0
1126,white style vinegar,16.526307196694944,0.0,0.0,0.0,0.0,1.3571814864739107,0.0,0.0,0.15521122645018576,0.0,0.0,0.0,0.0,-3.0,-3.0
1772,cauliflower florets,26.22505391408309,0.0,0.0,0.0,0.0,1.199529749586032,0.5026777163543474,0.25646948293272404,0.15458111205447744,0.0,0.0,0.0,0.0,-4.0,-4.0
2178,diet decaffeinated tea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2180,caffeine free unsweetened tea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2758,chicken broth,7.699107049684906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2760,beef broth,4.230246161242111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
2762,vegetable broth,4.230246161242111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2796,chicken broth,7.699107049684906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
